model,score_cv,score_test,score_train,tags,hidden_layer_sizes
polynomial MLP,0.06916344328985728,0.06937385687902964,0.06955284060209742,hidden_layer_sizes=10,10
linear MLP,0.06994081483168531,0.06881959427460142,0.06907927255809443,hidden_layer_sizes=10,10
polynomial MLP,0.06915307646553379,0.06888246383207382,0.069099132097819,hidden_layer_sizes=50,50
linear MLP,0.069252872265919,0.06923071514339782,0.0694190783722455,hidden_layer_sizes=50,50
polynomial MLP,0.0697265798023216,0.0692429981760392,0.06943049656603105,hidden_layer_sizes=100,100
linear MLP,0.07005161757770377,0.06891340388043295,0.06912623538191846,hidden_layer_sizes=100,100
polynomial MLP,0.06940956066961183,0.06886197944474214,0.06908419365405288,hidden_layer_sizes=200,200
linear MLP,0.06957082666631727,0.06895785825628362,0.06920398987293488,hidden_layer_sizes=200,200
linear MLP,0.06935621640547981,0.07037153086382444,0.07049900508791694,hidden_layer_sizes=300,300
polynomial MLP,0.06949249003108668,0.0689630455814073,0.069209686149107,hidden_layer_sizes=300,300
linear MLP,0.0696379689638831,0.06971729496021745,0.07002198502614615,hidden_layer_sizes=400,400
polynomial MLP,0.06966491278944405,0.07008090818653025,0.0702222352848278,hidden_layer_sizes=400,400
