model,score_cv,score_test,score_train,tags
linear SGDRegressor,0.0672600189383159,0.06957164253564566,0.06774836134750944,"alpha0.001, max_iter=1000"
linear SGDRegressor,0.06753183319144013,0.07021470311405198,0.06821573977786034,"alpha0.0001, max_iter=2000"
linear SGDRegressor,0.06766809125251853,0.07014779584964509,0.06815859055998005,"alpha0.0001, max_iter=1000"
linear Ridge,0.06771647314086587,0.0703271187163868,0.06828175646913319,
linear Ridge,0.06767112085492148,0.07027775966138541,0.06825050680335842,alpha=2
linear Ridge,0.06745812597673807,0.07006538307778606,0.06809366566424535,alpha=10
linear Ridge,0.06774759876095002,0.0703621072531322,0.06830317357200462,alpha=0.5
linear Ridge,0.06777805560399358,0.07039622603409035,0.06832359356279083,alpha=0.2
Polynomial SGD Regressor,0.06748273355387249,0.06983476130400626,0.0680458571578247,degree=4
Polynomial Ridge,0.06752199279186401,0.07001082209372005,0.06820363200783136,degree=4
Polynomial Ridge,0.0675220174441612,0.07001075277083642,0.06820354571899091,"degree=4, alpha=0.5"
Polynomial Ridge,0.06752197044874085,0.07001088541625558,0.06820371075644716,"degree=4, alpha=10.0"
