model,score_cv,score_test,score_train,tags
linear SGDRegressor,0.0690876879563179,0.0689419433479904,0.06913476728180053,"alpha0.001, max_iter=1000"
linear SGDRegressor,0.06921648425288243,0.06912951877758362,0.06930475444427854,"alpha0.0001, max_iter=2000"
linear SGDRegressor,0.06919525027667407,0.06900411778824755,0.06918920584636108,"alpha0.0001, max_iter=1000"
linear Ridge,0.06923640710703118,0.06910266724308824,0.06925134010307889,
linear Ridge,0.06921523632673698,0.06908603061021126,0.06924282105373533,alpha=2
linear Ridge,0.06919333854929956,0.06903653532396314,0.06921745322453297,alpha=10
linear Ridge,0.06926019414371762,0.06911881038889703,0.06926198746723095,alpha=0.5
linear Ridge,0.06929865746471948,0.06913680524486775,0.06927665989357143,alpha=0.2
Polynomial SGD Regressor,0.0694645218628674,0.0692166295200029,0.06940596327159895,degree=4
Polynomial Ridge,0.06936272071897188,0.06918536270589155,0.06937675143913848,degree=4
Polynomial Ridge,0.06936273478734835,0.06918534253129872,0.06937656842273841,"degree=4, alpha=0.5"
Polynomial Ridge,0.06936270780878254,0.0691853812258034,0.06937691944927893,"degree=4, alpha=10.0"
